StationId,PM2.5,PM10,NO,NO2,NOx,SO2
DL003,34.76,82.53,4.43,28.15,18.59,12.77
DL003,38.89,85.83,3.12,21.96,14.23,15.43
DL003,57.23,121.75,4.01,29.41,18.91,15.66
DL003,73.1,155.08,3.25,32.88,20.14,16.07
DL003,27.46,80.17,5.38,27.65,19.1,15.11
DL003,36.12,94.08,6.16,29.22,20.56,16.84
DL003,28.85,76.4,7.58,29.4,21.8,15.47
DL003,25.19,66.79,4.08,21.16,14.59,16.75
DL003,50.9,124.02,3.65,26.12,16.86,15.45
DL003,53.88,120.04,3.85,26.93,17.46,16.94
DL003,73.0,156.21,5.33,32.6,21.68,17.01
DL003,52.98,118.65,2.53,22.96,14.28,12.2
DL003,30.81,83.5,4.04,19.53,13.69,14.81
DL003,24.75,66.75,3.52,19.76,13.4,13.79
DL003,38.15,77.67,5.81,15.95,13.22,13.7
DL003,56.71,143.1,11.34,31.38,25.94,13.87
DL003,58.77,142.83,5.46,30.94,20.91,13.35
DL003,32.9,107.08,3.82,21.01,14.29,15.73
DL003,18.44,65.33,3.38,15.12,10.79,15.43
DL003,42.67,112.17,11.91,23.94,22.44,16.53
DL003,36.52,87.9,7.72,19.6,16.73,13.89
DL003,24.75,65.38,12.05,24.38,22.8,14.28
DL003,39.6,92.15,6.9,22.69,17.7,16.07
DL003,32.25,88.5,8.13,23.42,19.09,16.59
DL003,29.33,76.23,7.92,22.12,18.23,13.92
DL003,22.21,62.58,8.15,18.75,16.63,16.77
DL003,12.3,45.18,4.67,14.22,11.37,17.51
DL003,24.6,62.1,6.7,16.97,14.49,16.54
DL003,13.85,45.85,4.29,14.52,11.22,13.14
DL003,29.28,77.49,6.16,21.78,16.61,13.74
DL003,28.72,86.51,8.92,22.65,19.33,11.83
DL003,32.59,79.29,7.83,22.52,18.37,14.87
DL003,64.58,143.57,16.7,30.74,29.97,16.11
DL003,43.79,94.48,7.66,32.62,23.6,14.17
DL003,37.92,93.23,15.67,41.93,35.08,15.7
DL003,58.5,131.88,12.46,47.65,35.51,18.34
DL003,52.6,130.6,5.85,38.68,25.35,15.83
DL003,44.73,110.06,16.2,44.07,36.65,16.78
DL003,74.19,170.04,23.37,49.14,45.19,17.83
DL003,114.94,229.58,19.38,60.21,47.82,19.21
DL003,110.38,228.96,37.22,63.0,63.85,17.85
DL003,113.52,234.83,30.7,64.56,59.36,17.74
DL003,151.92,285.17,54.65,67.3,80.35,19.37
DL003,126.17,262.77,42.92,62.98,68.49,15.45
DL003,141.15,282.02,50.97,66.23,76.78,16.12
DL003,151.56,276.6,22.9,58.58,49.84,19.06
DL003,123.96,242.96,14.53,54.12,40.63,22.92
DL003,82.1,181.54,9.27,42.87,30.37,17.7
DL003,80.65,165.42,18.1,55.01,44.01,16.95
DL003,108.85,202.35,30.33,63.24,58.36,21.01
DL003,133.71,259.65,31.16,68.34,61.75,21.32
DL003,101.92,232.06,29.32,65.11,58.54,19.69
DL003,138.02,298.17,45.06,69.33,73.61,29.83
DL003,227.73,400.38,77.31,78.35,104.7,24.99
DL003,142.17,271.52,47.13,65.11,73.06,23.06
DL003,182.88,327.19,59.12,71.69,86.33,20.51
DL003,279.5,383.78,54.43,60.83,76.73,21.98
DL003,312.6,422.5,39.97,60.09,64.55,27.55
DL003,347.12,510.48,46.4,68.72,74.38,14.77
DL003,332.67,532.23,84.66,68.57,105.49,15.29
DL003,384.0,580.77,99.98,83.04,125.68,20.47
DL003,427.27,621.08,60.47,99.15,102.05,21.58
DL003,378.88,511.33,29.0,72.75,62.33,19.64
DL003,627.33,711.83,21.46,67.8,53.55,13.6
DL003,377.22,473.42,18.63,58.71,46.41,15.17
DL003,226.94,331.62,23.22,54.0,47.66,16.04
DL003,115.98,247.08,37.94,59.51,62.58,12.84
DL003,199.23,294.77,21.96,62.04,50.93,15.48
DL003,167.35,273.06,41.06,69.27,69.42,17.72
DL003,159.1,248.96,30.07,55.24,53.9,17.17
DL003,224.88,321.21,24.68,69.16,56.91,26.46
DL003,296.07,425.17,24.9,76.89,61.25,26.4
DL003,470.46,579.23,41.23,100.36,87.0,20.78
DL003,419.56,548.04,35.25,97.28,80.47,21.46
DL003,424.35,594.81,70.07,103.82,112.34,19.45
DL003,473.26,627.25,39.96,76.12,73.11,16.22
DL003,195.19,327.44,25.32,53.42,49.04,14.14
DL003,107.88,184.19,9.63,45.1,31.84,14.71
DL003,126.73,198.85,17.77,52.02,42.15,16.65
DL003,149.17,244.69,47.61,66.87,74.38,20.64
DL003,223.67,359.83,98.62,81.91,123.96,20.82
DL003,254.98,384.22,79.44,90.92,113.13,24.47
DL003,228.58,368.88,60.25,83.68,93.62,21.24
DL003,132.4,234.2,18.76,57.76,46.03,16.86
DL003,117.04,192.57,18.05,59.46,46.34,18.96
DL003,126.25,212.18,39.36,59.12,63.53,19.28
DL003,128.71,248.43,24.74,57.62,50.81,23.59
DL003,70.83,139.26,9.81,41.8,30.23,15.02
DL003,30.56,47.34,4.04,25.64,16.94,10.55
DL003,55.62,90.0,22.25,38.44,38.59,14.02
DL003,120.83,177.56,38.48,53.75,59.96,14.23
DL003,141.25,195.58,28.51,62.98,56.74,15.77
DL003,165.04,250.56,39.83,72.37,70.95,15.13
DL003,159.33,262.81,40.15,67.17,68.47,13.57
DL003,198.56,319.98,61.53,68.76,86.74,14.94
DL003,361.96,525.29,122.96,105.03,156.11,13.2
DL003,280.85,404.3,60.57,76.48,90.05,15.69
DL003,252.82,351.66,98.51,76.75,121.15,13.38
DL003,306.21,437.88,167.49,77.25,177.64,15.1
DL003,233.72,352.03,94.35,78.21,118.52,15.66
DL003,286.39,420.32,108.72,97.48,140.48,14.26
DL003,384.43,545.45,131.3,101.01,160.78,15.16
DL003,364.67,509.78,36.31,74.49,69.22,14.05
DL003,121.64,142.47,7.22,37.22,25.68,11.73
DL003,106.41,160.31,28.41,43.68,46.4,12.67
DL003,116.44,167.98,32.14,45.36,50.32,11.11
DL003,100.08,137.65,9.3,35.84,26.64,8.62
DL003,112.06,150.16,18.48,37.1,34.81,9.54
DL003,168.85,232.2,16.9,45.87,38.18,9.65
DL003,321.59,439.74,47.06,60.63,70.61,12.41
DL003,394.35,532.3,37.71,69.26,67.59,9.0
DL003,282.52,374.61,38.67,53.08,59.76,8.25
DL003,166.23,213.92,17.81,39.1,35.3,7.58
DL003,184.56,239.09,18.14,37.22,34.59,9.35
DL003,275.31,403.93,26.25,45.26,45.47,11.59
DL003,171.81,259.25,14.89,33.11,29.76,8.34
DL003,207.48,297.6,9.99,35.2,26.87,7.95
DL003,270.5,396.54,16.0,39.55,34.08,8.9
DL003,286.0,449.83,54.65,37.06,64.27,9.93
DL003,327.02,482.88,20.33,45.81,40.92,10.06
DL003,386.0,541.02,48.96,44.59,63.63,12.17
DL003,284.54,340.07,66.23,36.92,73.63,15.24
DL003,382.94,511.46,106.4,48.85,112.74,18.25
DL003,383.15,503.12,133.32,49.04,134.79,18.92
DL003,245.65,354.71,96.24,41.89,100.73,15.6
DL003,287.44,404.82,97.67,58.55,110.74,11.89
DL003,197.62,292.59,16.39,45.5,37.56,11.57
DL003,173.98,274.02,21.24,42.73,40.04,11.59
DL003,140.75,191.21,15.88,38.56,33.46,10.92
DL003,144.92,162.64,16.62,32.36,30.77,7.75
DL003,99.02,138.73,12.13,29.28,25.46,8.43
DL003,140.96,208.71,19.62,41.61,38.13,10.57
DL003,163.71,255.31,47.96,55.13,68.42,11.86
DL003,233.43,367.15,87.0,58.76,102.18,11.51
DL003,247.2,358.71,38.08,44.46,54.7,9.33
DL003,139.47,184.64,10.9,29.89,24.78,8.72
DL003,132.52,203.46,20.85,37.48,36.95,10.24
DL003,169.79,224.17,25.05,36.28,39.72,9.52
DL003,129.21,172.69,26.09,29.25,36.83,8.59
DL003,142.04,212.71,30.63,36.87,44.59,7.53
DL003,141.4,193.54,13.07,29.2,26.19,7.85
DL003,168.83,240.54,20.31,33.44,34.35,9.18
DL003,269.76,397.67,82.53,38.0,87.5,9.39
DL003,221.04,314.38,38.06,35.28,49.79,7.3
DL003,81.85,146.06,13.26,43.93,34.18,8.55
DL003,93.79,163.1,20.99,57.7,47.8,12.54
DL003,152.88,249.81,49.23,67.87,76.23,10.89
DL003,248.71,362.67,71.43,49.74,84.69,9.78
DL003,274.4,396.1,130.22,73.18,145.09,10.14
DL003,114.23,144.98,13.95,39.41,32.33,9.5
DL003,91.33,134.35,24.37,41.07,41.72,8.37
DL003,106.0,169.81,34.09,50.37,54.58,10.13
DL003,114.79,181.7,31.21,52.31,53.27,9.12
DL003,139.0,229.81,44.49,41.71,58.46,8.82
DL003,144.81,213.57,38.53,56.96,61.7,8.78
DL003,155.58,252.59,47.57,56.97,69.08,10.25
DL003,218.48,358.39,98.47,61.73,113.11,11.66
DL003,156.83,251.03,26.43,49.55,47.89,13.35
DL003,135.18,209.86,27.16,50.04,48.75,10.78
DL003,154.25,248.97,38.02,44.76,54.8,11.0
DL003,166.03,235.4,23.02,45.97,43.23,15.28
DL003,167.59,249.12,30.76,51.32,52.38,17.7
DL003,197.94,306.97,52.09,51.11,69.65,14.44
DL003,205.19,345.69,80.35,53.57,93.98,13.54
DL003,180.75,296.84,23.99,46.95,44.53,15.29
DL003,101.56,191.32,7.52,33.35,23.87,20.33
DL003,84.33,193.16,6.92,29.42,21.3,15.3
DL003,85.44,178.04,8.11,32.93,24.13,20.48
DL003,158.02,254.86,22.96,40.07,40.03,26.29
DL003,170.35,294.55,38.35,42.2,53.71,21.59
DL003,126.73,245.01,26.26,43.53,44.56,23.04
DL003,161.29,317.46,80.01,41.14,87.12,20.13
DL003,109.33,257.45,6.59,42.38,27.91,9.6
DL003,50.5,78.4,6.62,27.63,20.09,10.01
DL003,67.1,120.98,33.77,42.2,49.97,17.53
DL003,110.75,190.58,31.31,43.79,48.82,20.12
DL003,79.75,164.58,28.33,54.73,52.21,27.5
DL003,140.33,223.83,38.15,65.53,65.96,24.45
DL003,161.77,285.12,70.74,61.51,90.42,20.93
DL003,122.33,211.81,17.16,53.9,42.66,21.23
DL003,91.25,163.81,6.3,32.03,22.17,16.18
DL003,63.11,117.65,6.45,30.85,21.67,16.38
DL003,52.75,98.21,11.92,45.18,33.76,17.66
DL003,108.48,210.56,58.31,55.73,77.18,20.1
DL003,82.04,182.61,31.86,51.47,53.36,19.16
DL003,86.27,177.51,21.78,45.17,41.78,21.54
DL003,37.28,64.27,8.05,30.01,22.53,13.9
DL003,24.07,37.78,7.92,32.72,23.87,15.19
DL003,32.56,81.44,12.39,36.17,29.34,12.83
DL003,45.34,180.22,76.68,44.2,86.03,15.8
DL003,83.14,127.35,16.89,43.79,37.05,21.87
DL003,103.17,159.92,12.45,36.94,29.79,26.21
DL003,65.84,111.77,6.2,27.84,19.87,19.03
DL003,73.14,145.85,17.84,34.65,32.98,16.65
DL003,72.54,208.18,22.09,41.91,40.29,21.96
DL003,54.65,72.0,7.59,30.37,22.35,13.99
DL003,81.69,122.06,26.17,38.39,41.76,17.58
DL003,71.79,129.62,24.58,52.72,48.08,21.15
DL003,86.1,148.27,26.1,54.74,50.39,25.62
DL003,78.29,152.08,20.09,49.56,42.74,24.24
DL003,112.83,195.31,30.47,45.59,49.1,24.8
