Date,Open,High,Low,Close,Adj Close,Volume
2020-05-30,220.717209,243.943146,218.744461,242.345596,242.345596,15027397866
2020-05-31,242.351379,244.045258,230.052826,230.975708,230.975708,12234904813
2020-06-01,230.860260,248.236282,230.488052,246.991760,246.991760,13951727936
2020-06-02,246.828186,252.222000,233.225296,237.219055,237.219055,13782107566
2020-06-03,237.395218,244.179321,235.464447,244.179321,244.179321,9861760817
2020-06-04,244.105286,245.928970,236.765305,244.426392,244.426392,10170414303
2020-06-05,244.349594,247.329498,240.682053,241.221985,241.221985,9293963913
2020-06-06,241.201355,245.981049,239.724533,241.931320,241.931320,8114873844
2020-06-07,241.908081,245.435257,236.325256,245.167252,245.167252,9544883157
2020-06-08,245.178574,246.644196,241.542191,246.309906,246.309906,8076783298
2020-06-09,246.175018,248.342438,242.338547,244.911453,244.911453,8446545787
2020-06-10,244.822067,248.651154,242.819748,247.444946,247.444946,8792990205
2020-06-11,247.548538,249.888306,229.942978,231.702667,231.702667,12356528860
2020-06-12,231.625458,239.354691,229.645065,237.493210,237.493210,8868955009
2020-06-13,237.544617,239.193100,235.889679,238.908844,238.908844,7141624979
2020-06-14,238.968185,239.101456,232.958191,234.114700,234.114700,7439385176
2020-06-15,234.058304,234.237839,221.241760,229.928909,229.928909,10536099884
2020-06-16,229.762299,236.394302,228.426147,234.416168,234.416168,7965648016
2020-06-17,234.492371,235.954056,229.341644,233.028275,233.028275,7701391591
2020-06-18,232.898697,234.570648,228.951431,232.101166,232.101166,6713800871
2020-06-19,231.954971,232.154114,226.795181,227.138290,227.138290,6946372589
2020-06-20,226.976364,231.449020,226.640625,229.274261,229.274261,6252830565
2020-06-21,229.216141,232.358948,228.492996,228.989822,228.989822,5600408177
2020-06-22,229.003372,243.776016,228.934738,242.533188,242.533188,9079586552
2020-06-23,242.537018,244.864410,239.759735,244.142151,244.142151,6624530348
2020-06-24,244.185928,248.508026,232.807739,235.772461,235.772461,8815030024
2020-06-25,235.702850,236.053406,230.296600,232.944489,232.944489,7010426122
2020-06-26,232.877487,233.901932,229.259460,229.668045,229.668045,7187490225
2020-06-27,229.631485,232.493423,220.564575,222.959793,222.959793,6918380954
2020-06-28,222.914490,228.598282,219.472672,225.347168,225.347168,6205925718
2020-06-29,225.361435,229.903214,222.254990,228.194870,228.194870,6726164653
2020-06-30,227.968430,229.476807,224.815186,226.315002,226.315002,6094093001
2020-07-01,226.134583,232.756119,224.835739,231.113419,231.113419,6463737442
2020-07-02,231.288910,232.396881,225.461960,229.392197,229.392197,6212210566
2020-07-03,229.318954,229.629318,224.913971,225.387070,225.387070,5109032700
2020-07-04,225.288483,230.054138,225.133316,229.074112,229.074112,5228310135
2020-07-05,228.976196,229.856720,224.544495,227.664597,227.664597,5292172428
2020-07-06,227.685013,242.132706,227.029526,241.510223,241.510223,8782917552
2020-07-07,240.972595,242.681854,234.218658,239.075531,239.075531,6441497597
2020-07-08,239.159973,248.308868,238.398361,246.670013,246.670013,9892586411
2020-07-09,246.748291,247.291672,239.898651,243.015961,243.015961,8429099198
2020-07-10,242.868011,242.883789,236.730530,240.984985,240.984985,7281370521
2020-07-11,241.044785,241.527481,238.331238,239.458176,239.458176,5643067315
2020-07-12,239.459641,243.311142,237.770218,242.131699,242.131699,6596394717
2020-07-13,242.181870,244.310516,238.232376,239.604584,239.604584,7787751467
2020-07-14,239.975616,242.003784,237.796188,240.211487,240.211487,7357458554
2020-07-15,240.143646,241.402695,237.096176,238.423523,238.423523,6189328448
2020-07-16,238.450912,239.006256,231.621170,233.640884,233.640884,5832057567
2020-07-17,233.691391,234.415070,232.109970,232.773087,232.773087,5859850528
2020-07-18,232.855682,236.543976,232.324890,235.483810,235.483810,5397402116
2020-07-19,235.458298,239.160690,233.279739,238.487518,238.487518,6251377304
2020-07-20,238.494873,239.576248,234.852646,236.153168,236.153168,5600686192
2020-07-21,236.302505,246.186264,235.680969,245.016724,245.016724,6806696014
2020-07-22,245.037262,262.985046,242.484344,262.190643,262.190643,7702077382
2020-07-23,262.388641,277.583466,261.047089,274.689056,274.689056,10281309261
2020-07-24,274.722687,286.192841,269.239777,279.215424,279.215424,9466060358
2020-07-25,279.026367,306.740997,279.026367,304.056763,304.056763,10785021812
2020-07-26,303.692383,316.386322,300.267822,309.643616,309.643616,12003973025
2020-07-27,309.657928,330.701202,309.657928,321.514099,321.514099,15644257058
2020-07-28,321.829742,325.905975,307.721344,316.657257,316.657257,12357108064
2020-07-29,316.555359,324.380798,313.109589,318.190887,318.190887,10878845706
2020-07-30,318.144989,338.631195,315.751099,334.586639,334.586639,11827689045
2020-07-31,334.633728,348.611359,329.340942,345.554657,345.554657,12030600491
2020-08-01,345.798615,388.847961,343.587433,385.199707,385.199707,14045259476
2020-08-02,385.549866,411.228302,357.143646,370.671722,370.671722,18909744275
2020-08-03,371.133850,396.506989,369.336334,386.295166,386.295166,12834648062
2020-08-04,386.156464,400.700623,382.985107,389.875488,389.875488,14086704220
2020-08-05,389.710815,406.303955,386.218475,401.590576,401.590576,12875466638
2020-08-06,401.583862,403.488678,392.600189,394.961945,394.961945,11304626458
2020-08-07,395.226868,398.249023,367.935516,379.512848,379.512848,12751687083
2020-08-08,379.551575,393.987366,377.349731,393.987366,393.987366,9342060531
2020-08-09,395.305237,399.737091,385.830719,391.120453,391.120453,9451065592
2020-08-10,391.041504,399.375946,391.041504,395.887573,395.887573,11685827893
2020-08-11,395.894714,398.478912,370.860626,380.384064,380.384064,12792218736
2020-08-12,380.063812,391.312317,367.923615,391.024170,391.024170,12408772745
2020-08-13,390.838104,432.904602,379.710876,428.741791,428.741791,18480303525
2020-08-14,428.677277,444.577759,423.345856,437.397827,437.397827,15064589987
2020-08-15,437.562988,441.754608,429.874603,433.354919,433.354919,12416067894
2020-08-16,433.350586,436.265839,415.086243,433.786621,433.786621,12168816874
