StationId,PM2.5,PM10,NO,NO2,NOx,SO2
DL010,80.16,350.32,7.28,36.22,25.14,23.53
DL010,71.57,360.64,6.01,34.46,23.24,27.33
DL010,62.61,356.54,5.8,23.22,17.11,21.24
DL010,75.76,363.81,7.73,22.52,18.28,28.36
DL010,60.56,282.84,5.71,22.07,16.4,22.48
DL010,73.84,343.99,2.59,18.06,11.72,20.99
DL010,49.06,250.26,3.19,16.34,11.29,18.38
DL010,38.98,209.04,9.65,26.51,21.97,19.11
DL010,41.51,163.72,8.91,32.7,24.65,14.6
DL010,34.8,272.27,7.93,29.6,22.21,15.38
DL010,37.1,213.76,5.2,29.7,19.97,17.73
DL010,49.07,369.34,8.79,32.84,24.63,14.92
DL010,43.72,301.22,6.18,25.79,18.77,10.79
DL010,58.48,396.6,8.84,24.88,20.42,15.58
DL010,64.65,455.44,7.76,21.49,17.75,16.5
DL010,59.72,463.45,11.04,22.06,20.78,15.39
DL010,47.65,355.31,6.37,16.26,13.84,14.71
DL010,48.78,363.9,4.41,17.83,13.07,16.55
DL010,41.66,279.23,9.79,27.12,22.42,19.16
DL010,31.19,149.77,6.4,30.26,21.29,16.1
DL010,28.62,132.51,6.52,24.54,18.4,14.74
DL010,31.1,199.84,14.07,36.79,31.03,14.51
DL010,64.05,309.77,18.32,39.69,36.08,14.02
DL010,50.18,257.72,13.33,46.57,35.64,17.51
DL010,51.6,134.92,23.05,40.89,40.58,16.73
DL010,59.36,191.82,30.86,41.67,47.34,16.5
DL010,75.06,318.44,19.42,47.99,41.36,16.22
DL010,71.85,294.79,6.9,38.34,26.0,14.61
DL010,22.08,229.77,10.52,25.35,22.02,17.13
DL010,31.77,102.74,8.12,28.69,21.85,16.76
DL010,24.93,56.3,8.3,22.92,18.97,16.89
DL010,22.45,60.44,6.54,18.99,15.44,15.33
DL010,27.8,106.76,7.97,22.71,18.59,17.12
DL010,30.84,149.98,8.51,34.43,25.26,16.94
DL010,33.6,121.55,7.04,25.63,19.36,16.28
DL010,40.36,197.06,6.64,27.61,20.1,15.6
DL010,47.34,156.42,14.4,35.98,30.83,18.34
DL010,48.19,110.14,19.85,35.08,34.96,16.17
DL010,71.73,125.11,18.17,33.9,32.83,19.09
DL010,65.21,137.09,17.96,35.32,33.45,16.13
DL010,38.5,72.41,15.18,33.96,30.47,16.3
DL010,38.05,111.21,22.08,32.41,35.25,16.83
DL010,27.09,161.12,11.04,28.3,24.05,17.6
DL010,12.62,86.83,5.18,13.61,11.47,15.12
DL010,16.75,78.05,5.08,13.73,11.45,14.55
DL010,26.71,151.61,7.24,19.59,16.32,15.33
DL010,18.82,102.73,11.28,16.28,17.84,17.29
DL010,21.64,108.2,12.86,18.86,20.5,18.1
DL010,34.08,94.26,13.33,32.71,28.27,17.22
DL010,33.68,77.66,7.47,20.8,17.1,14.19
DL010,16.65,49.02,5.42,13.62,11.67,15.02
DL010,8.5,17.14,5.61,9.73,9.75,13.82
DL010,12.79,54.18,11.03,15.22,17.07,16.65
DL010,39.7,166.3,17.32,26.4,28.2,15.38
DL010,44.52,195.28,13.52,20.94,22.17,15.49
DL010,48.84,208.7,10.83,21.6,20.35,16.8
DL010,37.54,219.49,17.06,32.24,31.03,18.78
DL010,55.27,260.33,24.66,33.97,38.17,16.92
DL010,60.78,247.76,18.14,37.14,34.57,14.46
DL010,33.29,116.83,5.09,23.41,16.62,15.08
DL010,26.05,157.77,11.28,25.54,22.8,17.86
DL010,38.1,209.6,19.82,34.64,34.59,15.52
DL010,36.89,174.04,12.03,32.45,27.07,14.67
DL010,35.88,170.76,7.13,27.62,20.48,14.71
DL010,49.91,203.09,10.72,41.12,30.59,17.17
DL010,63.39,238.36,16.15,44.25,36.63,18.65
DL010,32.83,111.67,7.32,31.03,22.46,8.45
DL010,46.8,175.62,6.32,33.88,23.15,7.82
DL010,91.03,309.76,9.57,40.9,29.58,9.84
DL010,85.3,231.28,7.3,35.36,24.77,8.89
DL010,32.86,156.56,7.64,24.52,19.27,8.1
DL010,33.91,162.53,10.75,31.6,25.56,7.72
DL010,31.91,163.72,9.02,27.22,21.8,6.85
DL010,31.08,121.88,5.76,22.75,16.81,8.07
DL010,55.18,193.24,9.35,23.92,20.37,8.83
DL010,68.93,254.42,15.02,34.77,30.67,11.09
DL010,81.51,286.32,11.07,46.38,33.68,7.68
DL010,68.21,238.11,7.48,35.66,25.05,7.94
DL010,35.84,165.88,7.05,23.38,18.2,7.19
DL010,29.49,150.18,2.86,15.57,10.62,6.43
DL010,46.91,156.25,5.76,28.44,19.84,8.26
DL010,52.43,208.53,10.06,26.53,22.31,8.12
DL010,60.79,236.34,12.29,39.25,30.87,8.73
DL010,36.02,165.17,4.31,26.16,17.45,5.64
DL010,27.27,108.96,5.77,16.86,13.68,6.14
DL010,40.5,218.45,12.35,28.51,25.22,7.76
DL010,41.02,196.72,18.48,33.83,33.11,8.02
DL010,25.44,84.57,12.52,27.49,24.83,7.74
DL010,32.15,132.76,7.98,29.48,22.12,9.84
DL010,37.26,179.18,13.59,32.14,28.19,7.52
DL010,33.46,135.28,8.17,27.29,21.16,8.04
DL010,21.82,107.25,11.18,22.73,21.21,8.0
DL010,19.53,104.94,9.33,17.97,17.16,9.39
DL010,21.03,107.59,9.52,20.48,18.65,7.52
DL010,17.7,97.37,5.43,15.84,12.87,7.08
DL010,31.0,187.57,9.81,26.01,21.86,8.3
DL010,39.55,197.61,9.41,25.2,21.09,7.37
DL010,50.25,206.77,17.68,31.18,31.02,9.19
DL010,61.41,286.14,26.0,36.26,40.46,7.3
DL010,43.54,133.12,16.58,27.84,28.32,7.65
DL010,44.44,202.95,9.6,22.98,20.09,9.67
DL010,64.57,217.01,7.99,22.5,18.49,7.85
DL010,61.12,222.67,5.13,17.23,13.41,7.68
DL010,56.34,210.84,4.83,16.44,12.58,11.62
DL010,95.38,389.0,10.67,44.02,32.15,10.89
DL010,98.53,331.97,51.11,58.71,73.21,9.49
DL010,101.4,319.72,7.78,33.06,23.92,6.64
DL010,116.9,294.98,25.4,39.43,41.72,7.67
DL010,132.23,357.62,27.27,44.84,46.05,11.99
DL010,138.1,444.09,61.6,49.13,76.35,14.26
DL010,146.53,497.94,73.79,62.39,93.31,15.26
DL010,156.76,435.93,38.4,65.77,66.24,11.32
DL010,126.36,375.15,25.23,62.06,53.57,10.23
DL010,95.77,348.28,9.68,44.18,31.39,9.52
DL010,86.26,313.58,21.88,58.15,48.74,16.88
DL010,113.26,354.38,34.95,48.75,54.44,15.07
DL010,129.53,389.29,26.15,49.57,47.64,15.07
DL010,103.78,321.96,52.31,52.71,70.73,18.27
DL010,138.05,343.31,82.67,62.71,100.85,25.42
DL010,168.14,469.81,181.04,93.79,197.38,20.34
DL010,132.01,397.11,4.47,57.5,34.62,18.18
DL010,144.79,433.43,43.28,50.5,62.18,20.73
DL010,192.72,415.88,18.37,31.84,31.92,12.5
DL010,281.38,559.02,22.1,31.42,34.68,15.11
DL010,298.43,557.39,41.49,39.99,55.06,16.68
DL010,280.72,543.13,70.47,41.11,79.4,18.92
DL010,318.54,532.95,83.85,45.71,92.79,16.72
DL010,456.08,739.59,43.29,46.47,59.97,17.37
DL010,322.05,476.27,19.15,29.18,31.11,12.05
DL010,573.51,704.43,17.92,35.89,33.65,12.29
DL010,228.16,363.82,36.8,51.08,54.56,13.38
DL010,162.85,352.81,60.85,50.03,76.23,19.27
DL010,120.19,286.04,71.58,67.43,94.16,9.22
DL010,187.97,297.17,32.63,72.38,65.1,7.86
DL010,165.57,301.35,49.33,64.59,74.49,8.62
DL010,170.86,306.83,30.75,47.75,50.5,7.98
DL010,190.14,395.38,47.99,60.28,71.07,11.57
DL010,254.97,517.12,109.16,90.63,135.77,15.34
DL010,418.74,595.86,85.83,54.57,100.38,15.55
DL010,472.0,729.0,47.56,40.3,60.22,19.54
DL010,456.77,690.44,31.92,36.55,45.47,24.42
DL010,562.72,690.12,16.33,21.32,24.68,15.05
DL010,208.1,339.4,10.64,25.33,22.15,20.01
DL010,120.04,233.65,10.87,35.3,27.66,12.2
DL010,105.74,275.55,57.18,48.12,72.37,15.99
DL010,120.2,319.26,74.62,61.77,93.69,13.83
DL010,181.76,365.58,171.26,73.17,178.42,24.78
DL010,248.61,570.05,217.32,118.21,248.67,27.02
DL010,220.51,507.95,154.6,97.3,177.79,15.55
DL010,153.79,315.42,31.77,54.2,54.66,14.13
DL010,134.67,270.12,19.91,48.92,42.25,13.38
DL010,152.04,327.72,111.46,77.74,132.17,22.3
DL010,112.74,353.99,57.84,76.61,87.93,18.96
DL010,68.4,178.85,17.44,53.03,42.42,15.21
DL010,33.31,71.54,6.69,34.89,24.01,12.45
DL010,55.41,143.74,36.19,52.77,57.59,15.9
DL010,102.8,191.24,38.05,44.57,54.67,13.12
DL010,139.7,271.44,48.34,51.39,66.81,15.25
DL010,152.55,310.68,59.02,59.63,79.92,16.18
DL010,148.47,358.15,53.01,60.18,75.17,14.79
DL010,170.96,379.57,129.37,69.93,142.51,20.95
DL010,260.72,537.3,164.29,90.7,182.1,15.14
DL010,290.41,481.88,94.06,72.07,115.04,17.55
DL010,293.19,523.38,117.69,68.75,132.53,21.81
DL010,245.67,418.11,122.31,63.29,133.4,24.25
DL010,247.34,495.48,137.46,69.03,148.64,25.16
