Date,Open*,High,Low,Close**,Volume,Market Cap
"March 17, 2015",290.6,292.36,284.37,285.51,"2,14,97,200","3,98,31,44,494"
"March 16, 2015",285.68,294.11,285.68,290.59,"2,15,16,100","4,05,31,98,429"
"March 15, 2015",281.42,286.53,281,286.39,"1,19,70,100","3,99,36,28,668"
"March 14, 2015",284.44,286.34,280.98,281.89,"2,26,12,300","3,92,97,58,785"
"March 13, 2015",294.12,294.5,285.34,285.34,"3,14,21,500","3,97,69,48,638"
"March 12, 2015",296.13,297.09,292.41,294.35,"3,25,85,200","4,10,15,35,995"
"March 11, 2015",291.52,297.39,290.51,296.38,"3,39,63,900","4,12,87,96,573"
"March 10, 2015",289.86,300.04,289.74,291.76,"6,77,70,800","4,06,33,05,050"
"March 9, 2015",274.81,292.7,273.89,289.61,"5,91,78,200","4,03,22,41,702"
"March 8, 2015",276.43,277.86,272.57,274.35,"2,20,67,900","3,81,88,77,362"
"March 7, 2015",272.29,277.85,270.13,276.26,"1,78,25,900","3,84,43,51,385"
"March 6, 2015",275.6,277.61,270.02,272.72,"2,89,18,900","3,79,41,56,466"
"March 5, 2015",272.74,281.67,264.77,276.18,"4,13,02,400","3,84,12,01,000"
"March 4, 2015",281.99,284.23,268.13,273.09,"4,13,83,000","3,79,73,85,224"
"March 3, 2015",275.05,285.8,268.16,281.7,"5,04,61,300","3,91,61,08,523"
"March 2, 2015",260.36,276.3,258.31,275.67,"4,04,65,700","3,83,11,78,959"
"March 1, 2015",254.28,261.66,245.93,260.2,"2,52,13,700","3,61,51,81,538"
"February 28, 2015",253.52,254.69,249.48,254.26,"1,39,49,300","3,53,17,76,636"
"February 27, 2015",236.44,256.65,236.44,253.83,"4,40,13,900","3,52,48,20,596"
"February 26, 2015",237.34,237.71,234.26,236.43,"1,36,19,400","3,28,22,72,605"
"February 25, 2015",238.89,239.34,235.53,237.47,"1,14,96,200","3,29,58,75,814"
"February 24, 2015",239,239.9,236.4,238.74,"1,42,00,400","3,31,24,89,904"
"February 23, 2015",235.99,240.11,232.42,238.89,"1,64,00,000","3,31,38,97,879"
"February 22, 2015",244.54,246.39,233.85,235.98,"1,95,27,000","3,27,26,29,326"
"February 21, 2015",243.75,255.32,243.18,244.53,"1,22,84,200","3,39,03,72,210"
"February 20, 2015",240.25,247.1,239.3,243.78,"2,38,76,700","3,37,90,32,908"
"February 19, 2015",236.41,242.67,235.59,240.28,"1,82,70,500","3,32,96,31,566"
"February 18, 2015",243.78,244.25,232.34,236.33,"2,52,00,800","3,27,38,12,262"
"February 17, 2015",233.42,245.77,232.31,243.61,"2,73,63,100","3,37,37,06,168"
"February 16, 2015",234.82,239.52,229.02,233.84,"2,81,53,700","3,23,75,73,873"
"February 15, 2015",257.51,265.61,227.68,234.82,"5,65,52,400","3,25,02,42,178"
"Feb 14, 2015",235.53,259.81,235.53,257.32,"4,97,32,500","3,56,07,17,936"
"Feb 13, 2015",221.97,240.26,221.26,235.43,"4,27,44,400","3,25,68,14,719"
"Feb 12, 2015",219.21,222.2,217.61,221.76,"1,52,06,200","3,06,69,96,120"
"Feb 11, 2015",219.73,223.41,218.07,219.18,"1,72,01,900","3,03,06,76,475"
"Feb 10, 2015",220.28,221.81,215.33,219.84,"2,11,15,100","3,03,88,50,985"
"Feb 09, 2015",223.39,223.98,217.02,220.11,"2,77,91,300","3,04,17,99,140"
"Feb 08, 2015",227.69,229.44,221.08,223.41,"1,71,45,200","3,08,65,37,315"
"Feb 07, 2015",222.63,230.3,222.61,227.75,"2,16,04,200","3,14,57,61,023"
"Feb 06, 2015",216.92,230.51,216.23,222.27,"2,44,35,300","3,06,90,76,711"
"Feb 05, 2015",227.66,239.4,214.73,217.11,"2,25,16,400","2,99,69,45,966"
"Feb 04, 2015",227.51,230.06,221.11,226.85,"2,65,94,300","3,13,05,20,358"
"Feb 03, 2015",237.45,245.96,224.48,227.27,"4,07,83,700","3,13,53,43,874"
"Feb 02, 2015",226.49,242.18,222.66,238.23,"3,06,12,100","3,28,57,97,305"
"Feb 01, 2015",216.87,231.57,212.01,226.97,"2,91,28,500","3,12,96,37,468"
"Jan 31, 2015",226.44,233.5,216.31,217.46,"2,33,48,200","2,99,76,92,311"
"Jan 30, 2015",232.77,242.85,225.84,226.43,"2,66,05,200","3,12,02,72,355"
"Jan 29, 2015",233.35,238.71,220.71,233.51,"3,22,13,400","3,21,71,49,466"
"Jan 28, 2015",263.35,266.54,227.05,233.91,"4,43,52,200","3,22,17,28,839"
"Jan 27, 2015",273.17,275.48,250.65,263.48,"4,43,99,000","3,62,77,60,928"
"Jan 26, 2015",254.08,309.38,254.08,273.47,"10,67,94,000","3,76,44,17,376"
"Jan 25, 2015",247.35,255.07,243.89,253.72,"3,35,82,700","3,49,16,86,145"
"Jan 24, 2015",232.7,248.21,230.02,247.85,"2,47,82,500","3,41,01,14,481"
"Jan 23, 2015",233.52,234.85,225.2,232.88,"2,46,21,700","3,20,34,36,948"
"Jan 22, 2015",227.32,237.02,226.43,233.41,"3,35,44,600","3,20,99,62,696"
"Jan 21, 2015",211.38,227.79,211.21,226.9,"2,99,24,600","3,11,96,80,595"
"Jan 20, 2015",212.91,215.24,205.15,211.32,"2,40,51,100","2,90,46,51,464"
"Jan 19, 2015",211.47,216.73,207.32,214.86,"1,86,58,300","2,95,27,59,522"
"Jan 18, 2015",200.05,218.7,194.51,210.34,"3,00,85,100","2,88,98,58,038"
"Jan 17, 2015",207.83,211.73,194.88,199.26,"2,34,69,700","2,73,68,75,952"
"Jan 16, 2015",209.07,221.59,199.77,208.1,"3,84,21,000","2,85,75,41,182"
"Jan 15, 2015",176.9,229.07,176.9,209.84,"8,17,73,504","2,88,08,01,385"
"Jan 14, 2015",223.89,223.89,171.51,178.1,"9,76,38,704","2,44,43,79,076"
"Jan 13, 2015",267.39,268.28,219.91,225.86,"7,28,43,904","3,09,90,04,902"
"Jan 12, 2015",266.15,272.2,265.2,267.8,"1,88,80,300","3,67,35,51,884"
"Jan 11, 2015",274.61,279.64,265.04,265.66,"1,82,00,800","3,64,33,07,731"
"Jan 10, 2015",287.3,288.13,273.97,274.8,"1,52,64,300","3,76,75,35,599"
"Jan 09, 2015",282.38,291.11,280.53,290.41,"1,87,18,600","3,98,04,26,431"
"Jan 08, 2015",294.14,294.14,282.17,283.35,"1,99,82,500","3,88,27,66,766"
"Jan 07, 2015",286.08,298.75,283.08,294.34,"2,48,66,800","4,03,22,55,015"
"Jan 06, 2015",274.61,287.55,272.7,286.19,"2,32,45,700","3,91,96,23,080"
"Jan 05, 2015",265.08,278.34,265.08,274.47,"4,39,62,800","3,75,80,98,008"
"Jan 04, 2015",281.15,287.23,257.61,264.2,"5,56,29,100","3,61,63,20,975"
"Jan 03, 2015",314.85,315.15,281.08,281.08,"3,30,54,400","3,84,62,69,872"
"Jan 02, 2015",314.08,315.84,313.57,315.03,"78,60,650","4,30,95,51,126"
"Jan 01, 2015",320.43,320.43,314,314.25,"80,36,550","4,29,75,35,768"
"Dec 31, 2014",310.91,320.19,310.21,320.19,"1,39,42,900","4,37,75,10,595"
"Dec 30, 2014",312.72,314.81,309.37,310.74,"1,25,28,300","4,24,70,60,095"
"Dec 29, 2014",317.7,320.27,312.31,312.67,"1,23,02,500","4,27,22,68,163"
"Dec 28, 2014",316.16,320.03,311.08,317.24,"1,16,76,600","4,33,33,89,568"
"Dec 27, 2014",327.58,328.91,312.63,315.86,"1,51,85,200","4,31,32,67,197"
"Dec 26, 2014",319.15,331.42,316.63,327.92,"1,64,10,500","4,47,67,03,675"
"Dec 25, 2014",322.29,322.67,316.96,319.01,"98,83,640","4,35,37,89,283"
"Dec 24, 2014",334.39,334.74,321.36,322.53,"1,50,92,300","4,40,06,37,769"
"Dec 23, 2014",332.02,336.29,329.6,334.57,"1,65,74,200","4,56,35,95,537"
"Dec 22, 2014",321.07,334.12,320.42,331.89,"2,23,15,100","4,52,57,05,359"
"Dec 21, 2014",329.54,329.63,318.9,320.84,"1,52,07,600","4,37,38,20,008"
"Dec 20, 2014",317.62,330.33,316.04,329.96,"2,08,56,700","4,49,69,45,577"
"Dec 19, 2014",311.18,318.53,306.77,317.84,"2,38,23,100","4,33,08,01,581"
"Dec 18, 2014",319.79,323.71,304.23,311.4,"3,91,73,000","4,24,18,90,806"
"Dec 17, 2014",326.86,333.95,315.15,319.78,"3,75,67,900","4,35,50,21,350"
"Dec 16, 2014",345.67,345.86,327.06,327.06,"3,08,64,900","4,45,32,02,603"
"Dec 15, 2014",351.36,351.82,344.93,345.35,"1,72,64,200","4,70,09,05,209"
"Dec 14, 2014",346.73,353.32,345.42,351.63,"1,24,15,200","4,78,52,45,608"
"Dec 13, 2014",352.38,352.38,346.59,347.38,"1,16,75,900","4,72,61,02,586"
"Dec 12, 2014",350.83,352.98,349.29,352.54,"1,69,89,800","4,79,50,55,945"
"Dec 11, 2014",344.34,361.36,338.76,350.51,"3,24,31,300","4,76,60,84,199"
"Dec 10, 2014",352.2,352.38,346.36,346.36,"1,64,27,700","4,70,85,72,401"
"Dec 09, 2014",361.89,363.07,344.95,352.22,"3,29,15,500","4,78,68,93,958"
"Dec 08, 2014",374.96,376.03,361.89,361.91,"1,88,98,700","4,91,73,02,822"
"Dec 07, 2014",374.84,376.29,373.27,375.1,"64,91,650","5,09,49,43,517"
"Dec 06, 2014",376.76,378.45,370.95,374.79,"70,09,320","5,08,95,42,822"
"Dec 05, 2014",369.44,379.19,365.76,376.85,"1,51,81,800","5,11,63,58,331"
"Dec 04, 2014",375.72,378.65,367.76,369.6,"1,45,29,600","5,01,64,87,250"
"Dec 03, 2014",381.72,383.03,374.35,375.01,"1,33,40,100","5,08,84,91,940"
"Dec 02, 2014",379.25,384.04,377.86,381.32,"1,23,64,100","5,17,29,28,823"
"Dec 01, 2014",378.25,383.66,376.67,379.24,"1,17,63,000","5,14,34,34,464"
"Nov 30, 2014",375.51,382.53,373.31,378.05,"91,94,440","5,12,59,58,175"
"Nov 29, 2014",376.15,387.6,372.14,375.49,"1,53,75,600","5,08,97,99,280"
"Nov 28, 2014",369.37,382.84,358.45,376.45,"2,29,46,500","5,10,12,80,353"
"Nov 27, 2014",370.5,373.99,368.28,369.67,"87,48,030","5,00,80,58,116"
"Nov 26, 2014",376.02,377.7,365.82,368.37,"1,86,01,700","4,98,91,66,443"
"Nov 25, 2014",376.89,394.7,374.78,375.35,"2,54,42,200","5,08,23,90,210"
"Nov 24, 2014",366.95,387.21,366.67,376.9,"3,09,30,100","5,10,21,74,795"
"Nov 23, 2014",353.17,370.85,353.17,367.57,"1,51,51,600","4,97,45,40,006"
"Nov 22, 2014",351.6,364.84,350.88,352.92,"1,52,73,000","4,77,49,89,954"
"Nov 21, 2014",357.88,357.88,344.11,350.85,"2,98,50,100","4,74,56,05,133"
"Nov 20, 2014",380.31,382.02,356.78,357.84,"2,52,33,200","4,83,90,43,482"
"Nov 19, 2014",373.9,386.48,373.9,380.55,"1,89,31,800","5,14,49,03,809"
"Nov 18, 2014",387.79,392.4,371.12,375.2,"3,22,22,500","5,07,11,57,408"
"Nov 17, 2014",388.35,410.2,377.5,387.41,"4,15,18,800","5,23,46,95,637"
"Nov 16, 2014",374.73,390.8,374.6,387.88,"1,19,05,600","5,23,96,94,300"
"Nov 15, 2014",399.65,405.53,371.01,376.13,"1,57,27,500","5,07,95,82,132"
"Nov 14, 2014",418.42,419.25,384.79,397.82,"2,95,89,200","5,37,10,40,273"
"Nov 13, 2014",427.27,457.09,401.12,420.73,"5,89,45,000","5,67,88,28,589"
"Nov 12, 2014",367.98,429.72,367.98,423.56,"4,57,83,200","5,71,54,26,244"
"Nov 11, 2014",365.86,371.31,363.73,367.7,"1,58,38,900","4,96,02,42,320"
"Nov 10, 2014",362.27,374.82,357.56,366.92,"3,04,50,100","4,94,86,58,123"
"Nov 09, 2014",345.38,363.63,344.26,363.26,"2,42,05,600","4,89,79,61,165"
"Nov 08, 2014",342.15,347.03,342.15,345.49,"85,35,470","4,65,69,88,222"
"Nov 07, 2014",349.82,352.73,341.78,342.42,"1,68,34,200","4,61,42,64,695"
"Nov 06, 2014",339.46,352.97,338.42,349.29,"1,87,97,000","4,70,55,91,219"
"Nov 05, 2014",330.68,343.37,330.68,339.49,"1,98,17,200","4,57,22,05,935"
"Nov 04, 2014",327.16,331.77,325.08,330.49,"1,56,55,500","4,44,99,34,321"
"Nov 03, 2014",325.57,334,325.48,327.55,"1,29,48,500","4,40,90,40,617"
"Nov 02, 2014",326.08,329.05,320.63,325.89,"86,03,620","4,38,52,92,372"
"Nov 01, 2014",338.65,340.53,321.05,325.75,"1,66,77,200","4,38,21,13,991"
"Oct 31, 2014",345.01,348.05,337.14,338.32,"1,25,45,400","4,54,98,93,052"
"Oct 30, 2014",335.71,350.91,335.07,345.3,"3,01,77,900","4,64,21,94,094"
"Oct 29, 2014",357.09,357.83,335.34,335.59,"1,81,92,700","4,51,01,75,245"
"Oct 28, 2014",353.21,359.98,352.68,357.62,"78,45,880","4,80,48,12,401"
"Oct 27, 2014",354.78,358.63,349.81,352.99,"1,30,33,000","4,74,14,10,021"
"Oct 26, 2014",347.49,359.22,343.93,354.7,"1,12,72,500","4,76,30,36,253"
"Oct 25, 2014",358.61,359.86,342.88,347.27,"1,81,27,500","4,66,21,39,220"
"Oct 24, 2014",358.59,364.35,353.3,358.35,"1,55,85,700","4,80,94,19,914"
"Oct 23, 2014",382.96,385.05,356.45,358.42,"2,64,56,900","4,80,89,52,572"
"Oct 22, 2014",386.12,388.58,382.25,383.16,"1,16,41,300","5,13,94,61,096"
"Oct 21, 2014",382.42,392.65,380.83,386.48,"1,41,88,900","5,18,24,26,851"
"Oct 20, 2014",389.23,390.08,378.25,382.85,"1,64,19,000","5,13,22,76,503"
"Oct 19, 2014",391.25,393.94,386.46,389.55,"59,14,570","5,22,07,83,140"
"Oct 18, 2014",383.98,395.16,378.97,391.44,"1,14,16,800","5,24,48,92,214"
"Oct 17, 2014",382.76,385.48,375.39,383.76,"1,36,00,700","5,14,03,42,471"
"Oct 16, 2014",394.52,398.81,373.07,382.56,"2,69,90,000","5,12,29,03,035"
"Oct 15, 2014",400.95,402.23,388.77,394.77,"2,52,67,100","5,28,50,43,276"
"Oct 14, 2014",391.69,411.7,391.32,400.87,"3,84,91,500","5,36,51,53,884"
"Oct 13, 2014",377.92,397.23,368.9,390.41,"3,52,21,400","5,22,39,24,767"
"Oct 12, 2014",362.61,379.43,356.14,378.55,"1,75,52,800","5,06,36,89,090"
"Oct 11, 2014",361.36,367.19,355.95,362.3,"1,33,45,200","4,84,49,61,125"
"Oct 10, 2014",364.69,375.07,352.96,361.56,"4,36,65,700","4,83,38,30,847"
"Oct 09, 2014",352.75,382.73,347.69,365.03,"8,36,41,104","4,87,87,18,500"
"Oct 08, 2014",336.12,354.36,327.19,352.94,"5,47,36,300","4,71,58,87,222"
"Oct 07, 2014",330.58,339.25,320.48,336.19,"4,91,99,900","4,49,08,19,565"
"Oct 06, 2014",320.39,345.13,302.56,330.08,"7,90,11,800","4,40,81,30,777"
"Oct 05, 2014",328.92,341.8,289.3,320.51,"8,33,08,096","4,27,90,40,870"
"Oct 04, 2014",359.89,364.49,325.89,328.87,"4,72,36,500","4,38,92,18,291"
"Oct 03, 2014",375.18,377.7,357.86,359.51,"3,09,01,200","4,79,68,51,775"
"Oct 02, 2014",383.99,385.5,372.95,375.07,"2,17,77,700","5,00,30,85,408"
"Oct 01, 2014",387.43,391.38,380.78,383.61,"2,62,29,400","5,11,56,88,242"
"Sep 30, 2014",376.09,390.98,373.44,386.94,"3,47,07,300","5,15,86,21,325"
"Sep 29, 2014",376.93,385.21,372.24,375.47,"3,24,97,700","5,00,41,77,243"
