Date,Open*,High,Low,Close**,Volume,Market Cap
"Feb 05, 2018",834.96,856.65,644.6,697.95,"4,26,95,30,112","68,00,52,84,183"
"Feb 04, 2018",964.67,969.03,805.06,834.68,"2,99,70,90,048","81,31,05,21,832"
"Feb 03, 2018",919.21,991.94,847.69,964.02,"3,24,34,80,064","93,89,02,99,032"
"Feb 02, 2018","1,035.77","1,035.77",757.98,915.78,"6,71,32,90,240","89,17,39,62,074"
"Feb 01, 2018","1,119.37","1,161.35",984.82,"1,036.79","5,26,16,80,128","1,00,93,53,54,837"
"Jan 31, 2018","1,071.09","1,128.66","1,034.50","1,118.31","3,75,75,60,064","1,08,84,86,38,400"
"Jan 30, 2018","1,184.13","1,184.63","1,058.97","1,071.13","4,10,78,59,968","1,04,23,44,81,555"
"Jan 29, 2018","1,246.70","1,256.70","1,169.08","1,182.36","3,71,50,79,936","1,15,03,45,83,684"
"Jan 28, 2018","1,111.78","1,257.77","1,111.78","1,246.01","5,37,23,29,984","1,21,20,16,18,306"
"Jan 27, 2018","1,055.75","1,121.98","1,042.12","1,107.07","3,00,28,70,016","1,07,66,39,11,307"
"Jan 26, 2018","1,052.70","1,080.60",996.78,"1,055.17","3,61,76,90,112","1,02,59,50,08,990"
"Jan 25, 2018","1,063.22","1,104.66","1,034.74","1,056.03","4,05,01,90,080","1,02,65,70,59,605"
"Jan 24, 2018",987.48,"1,062.44",965.81,"1,058.78","3,94,40,39,936","1,02,90,28,43,882"
"Jan 23, 2018","1,004.17","1,023.23",920.54,986.23,"3,55,66,99,904","95,83,13,59,552"
"Jan 22, 2018","1,055.35","1,089.10",930.74,"1,003.26","3,81,00,99,968","97,46,56,84,890"
"Jan 21, 2018","1,155.68","1,155.68","1,021.50","1,049.58","3,37,80,89,984","1,01,94,37,26,022"
"Jan 20, 2018","1,044.95","1,167.11","1,044.95","1,155.15","3,97,51,90,016","1,12,17,44,61,242"
"Jan 19, 2018","1,028.82","1,093.22","1,003.71","1,039.10","4,08,44,50,048","1,00,88,34,62,786"
"Jan 18, 2018","1,016.44","1,100.31",967.76,"1,036.28","5,93,83,19,872","1,00,58,83,18,055"
"Jan 17, 2018","1,061.34","1,090.23",780.92,"1,014.25","8,54,51,60,192","98,42,90,91,487"
"Jan 16, 2018","1,292.63","1,292.63",875.54,"1,053.69","8,40,51,39,968","1,02,23,12,95,311"
"Jan 15, 2018","1,365.21","1,390.59","1,290.60","1,291.92","4,78,11,00,032","1,25,31,97,66,537"
"Jan 14, 2018","1,397.48","1,400.56","1,286.21","1,366.77","4,84,16,30,208","1,32,55,49,06,162"
"Jan 13, 2018","1,270.47","1,432.88","1,270.47","1,396.42","5,74,67,60,192","1,35,40,07,35,922"
"Jan 12, 2018","1,158.29","1,296.04","1,120.09","1,273.20","5,22,23,00,160","1,23,42,69,38,667"
"Jan 11, 2018","1,268.09","1,337.30","1,135.17","1,154.93","7,23,58,99,904","1,11,93,74,24,561"
"Jan 10, 2018","1,300.34","1,417.38","1,226.60","1,255.82","9,21,49,50,400","1,21,68,94,25,203"
"Jan 09, 2018","1,146.00","1,320.98","1,145.49","1,299.74","7,96,54,59,968","1,25,91,79,25,182"
"Jan 08, 2018","1,158.26","1,266.93","1,016.05","1,148.53","8,45,09,70,112","1,11,24,46,29,093"
"Jan 07, 2018","1,043.01","1,153.17","1,043.01","1,153.17","5,56,98,80,064","1,11,67,06,67,774"
"Jan 06, 2018",995.15,"1,060.71",994.62,"1,041.68","4,66,22,19,776","1,00,85,21,02,738"
"Jan 05, 2018",975.75,"1,075.39",956.33,997.72,"6,68,31,49,824","96,57,49,36,368"
"Jan 04, 2018",961.71,"1,045.08",946.09,980.92,"6,50,28,59,776","94,92,43,08,783"
"Jan 03, 2018",886,974.47,868.45,962.72,"5,09,31,59,936","93,14,68,29,617"
"Jan 02, 2018",772.35,914.83,772.35,884.44,"5,78,33,49,760","85,55,29,84,077"
"Jan 01, 2018",755.76,782.53,742,772.64,"2,59,57,60,128","74,72,42,33,458"
"Dec 31, 2017",712.21,760.35,710.12,756.73,"2,55,42,69,952","73,17,01,70,967"
"Dec 30, 2017",753.82,753.82,685.23,717.26,"3,18,77,80,096","69,33,84,70,696"
"Dec 29, 2017",740.39,770.12,729.61,753.59,"2,64,89,69,984","72,83,53,28,712"
"Dec 28, 2017",762.21,763.32,701.19,737.02,"2,38,91,49,952","71,21,90,54,808"
"Dec 27, 2017",774.97,789.25,738.41,762.84,"2,10,00,29,952","73,69,83,77,070"
"Dec 26, 2017",763.37,786.79,760.93,773.84,"2,20,11,59,936","74,74,46,13,931"
"Dec 25, 2017",698.87,782.52,698.87,765.83,"2,49,17,60,128","73,95,57,57,349"
"Dec 24, 2017",721.77,721.77,614.92,694.15,"2,30,05,49,888","67,01,92,37,420"
"Dec 23, 2017",681.32,763.9,679.73,719.39,"2,48,03,39,968","69,44,12,97,649"
"Dec 22, 2017",822.64,827.68,543.76,674.86,"4,97,77,10,080","65,12,91,09,277"
"Dec 21, 2017",820.24,880.54,792.69,821.06,"3,56,90,60,096","79,22,18,96,341"
"Dec 20, 2017",827.52,845.06,756,819.09,"3,96,99,39,968","79,01,44,30,828"
"Dec 19, 2017",793.9,881.94,785.34,826.82,"4,09,65,49,888","79,74,37,40,362"
"Dec 18, 2017",721.73,803.93,689.23,794.65,"3,24,92,30,080","76,62,38,97,492"
"Dec 17, 2017",696.24,735.83,696.24,719.97,"2,14,73,89,952","69,40,90,25,338"
"Dec 16, 2017",686.19,718.39,680.79,696.21,"2,16,56,90,112","67,10,36,95,920"
"Dec 15, 2017",696.38,697.13,621.06,684.45,"2,75,87,10,016","65,95,61,74,321"
"Dec 14, 2017",700.59,753.12,664.99,695.82,"3,82,15,80,032","67,03,69,17,107"
"Dec 13, 2017",644.91,747.99,597.8,702.77,"4,52,45,39,904","67,69,22,31,422"
"Dec 12, 2017",522.29,657.32,504.49,651.43,"5,17,98,29,760","62,73,39,82,232"
"Dec 11, 2017",440.36,516.97,439.1,515.14,"1,77,14,40,000","49,59,79,27,198"
"Dec 10, 2017",472.79,472.79,429.51,441.72,"1,40,41,79,968","42,52,04,79,602"
"Dec 09, 2017",457.34,504.15,456.25,473.5,"2,00,38,49,984","45,57,00,80,683"
"Dec 08, 2017",434.99,466.06,422.37,456.03,"2,33,63,79,904","43,87,92,56,076"
"Dec 07, 2017",426.37,441.4,414.41,434.41,"2,12,95,70,048","41,78,98,48,007"
"Dec 06, 2017",462.6,462.71,420.21,428.59,"1,99,82,59,968","41,22,09,97,942"
"Dec 05, 2017",470.29,473.56,457.66,463.28,"1,21,67,20,000","44,54,81,59,326"
"Dec 04, 2017",466.05,474.78,453.31,470.2,"1,00,55,50,016","45,20,41,45,125"
"Dec 03, 2017",463.7,482.81,451.85,465.85,"99,05,56,992","44,77,63,62,724"
"Dec 02, 2017",466.85,476.24,456.65,463.45,"94,36,49,984","44,53,58,63,933"
"Dec 01, 2017",445.21,472.61,428.31,466.54,"1,24,78,79,936","44,82,34,57,369"
"Nov 30, 2017",431.21,465.5,401.24,447.11,"1,90,30,40,000","42,94,79,37,239"
"Nov 29, 2017",473.28,522.31,425.07,427.52,"2,67,59,40,096","41,05,73,83,009"
"Nov 28, 2017",480.52,482.48,466.35,472.9,"1,34,64,99,968","45,40,57,17,909"
"Nov 27, 2017",471.53,493.4,468.48,480.36,"1,39,64,80,000","46,11,15,61,438"
"Nov 26, 2017",465.97,472.72,451.61,471.33,"1,19,77,79,968","45,23,56,44,662"
"Nov 25, 2017",475.68,485.19,461.05,466.28,"1,42,20,80,000","44,74,10,93,552"
"Nov 24, 2017",412.5,480.97,402.76,474.91,"2,29,28,29,952","45,56,00,21,462"
"Nov 23, 2017",381.44,425.55,376.09,410.17,"1,84,56,80,000","39,34,04,08,036"
"Nov 22, 2017",360.31,381.42,360.15,380.65,"80,08,19,008","36,50,18,78,925"
"Nov 21, 2017",367.44,372.47,350.69,360.4,"94,99,12,000","34,55,25,59,750"
"Nov 20, 2017",354.09,372.14,353.29,366.73,"80,70,27,008","35,15,18,47,933"
"Nov 19, 2017",347.4,371.29,344.74,354.39,"1,18,15,29,984","33,96,14,30,090"
"Nov 18, 2017",331.98,349.62,327.69,347.61,"64,96,38,976","33,30,51,60,559"
"Nov 17, 2017",330.17,334.96,327.52,332.39,"62,17,32,992","31,84,03,49,187"
"Nov 16, 2017",333.44,336.16,323.61,330.92,"79,72,54,016","31,69,27,95,453"
"Nov 15, 2017",337.96,340.91,329.81,333.36,"72,26,65,984","31,91,90,60,540"
"Nov 14, 2017",316.76,340.18,316.76,337.63,"1,06,96,80,000","32,32,13,83,639"
"Nov 13, 2017",307.02,328.42,307.02,316.72,"1,04,18,89,984","30,31,28,34,756"
"Nov 12, 2017",314.69,319.15,298.51,307.91,"1,61,34,79,936","29,46,35,40,579"
"Nov 11, 2017",298.59,319.45,298.19,314.68,"84,23,00,992","30,10,52,85,828"
"Nov 10, 2017",320.67,324.72,294.54,299.25,"88,59,85,984","28,62,31,88,738"
"Nov 09, 2017",308.64,329.45,307.06,320.88,"89,32,49,984","30,68,55,84,327"
"Nov 08, 2017",294.27,318.7,293.1,309.07,"96,79,55,968","29,54,95,52,409"
"Nov 07, 2017",298.57,304.84,290.77,294.66,"54,07,66,016","28,16,57,78,801"
"Nov 06, 2017",296.43,305.42,293.72,298.89,"57,93,58,976","28,56,42,96,472"
"Nov 05, 2017",300.04,301.37,295.12,296.26,"33,76,57,984","28,30,70,52,341"
"Nov 04, 2017",305.48,305.48,295.8,300.47,"41,64,79,008","28,70,27,37,365"
"Nov 03, 2017",288.5,308.31,287.69,305.71,"64,63,39,968","29,19,73,17,355"
"Nov 02, 2017",290.73,293.91,281.17,287.43,"90,49,00,992","27,44,54,42,368"
"Nov 01, 2017",305.76,306.4,290.58,291.69,"55,38,64,000","27,84,67,64,494"
"Oct 31, 2017",307.38,310.55,305.88,305.88,"36,95,83,008","29,19,47,51,985"
"Oct 30, 2017",304.78,310.5,304.35,307.75,"33,14,41,984","29,36,70,79,933"
