StationId,PM2.5,PM10,NO,NO2,NOx,SO2
DL027,64.04,107.41,9.86,12.17,22.03,2.99
DL027,47.95,80.29,1.93,13.09,14.89,2.45
DL027,50.22,80.15,9.52,11.32,20.84,2.33
DL027,55.17,84.03,15.61,11.44,27.05,2.27
DL027,73.82,117.51,11.26,16.98,28.2,2.11
DL027,71.34,114.93,7.22,17.6,24.82,2.29
DL027,23.7,40.03,4.2,10.72,14.87,2.01
DL027,25.67,40.48,1.82,6.92,8.73,2.04
DL027,22.73,33.11,3.36,8.62,12.1,1.95
DL027,12.14,32.12,1.3,5.73,7.03,1.75
DL027,13.45,42.91,1.32,6.48,7.81,1.9
DL027,19.44,55.57,1.3,8.14,9.43,2.38
DL027,18.42,51.72,1.03,6.93,7.95,2.42
DL027,24.94,60.0,1.09,7.92,8.98,2.52
DL027,25.39,65.21,1.15,8.92,10.04,2.28
DL027,30.58,61.16,2.7,10.72,13.43,2.61
DL027,42.79,77.0,3.11,12.57,15.68,2.94
DL027,40.18,73.21,1.83,10.03,11.84,2.21
DL027,28.72,48.14,5.74,12.74,18.45,1.8
DL027,33.97,71.49,7.9,11.11,19.03,4.33
DL027,22.92,66.85,2.19,7.33,9.5,2.82
DL027,10.64,54.03,1.4,5.22,6.61,3.25
DL027,10.5,33.01,0.89,4.35,5.22,2.05
DL027,15.38,40.27,1.03,5.25,6.28,1.88
DL027,13.77,35.14,2.73,9.11,11.83,1.48
DL027,17.45,40.99,4.68,10.02,14.71,1.72
DL027,30.77,45.51,3.59,11.16,14.71,2.16
DL027,27.75,48.16,3.7,6.13,9.82,2.13
DL027,12.23,29.1,1.13,3.91,4.92,2.24
DL027,5.64,9.23,1.4,2.01,3.31,1.54
DL027,12.32,19.59,2.61,5.8,8.39,1.48
DL027,34.32,57.24,4.98,7.5,12.46,2.13
DL027,37.04,68.0,8.48,6.8,15.28,2.2
DL027,45.09,88.39,5.67,8.91,14.26,1.73
DL027,48.25,91.86,21.83,20.8,42.58,2.04
DL027,42.5,100.12,27.65,20.34,48.0,1.9
DL027,61.29,127.3,50.87,20.35,71.42,1.9
DL027,26.19,47.45,1.65,9.24,10.87,1.89
DL027,19.74,51.53,3.22,8.78,11.96,2.31
DL027,27.79,72.04,4.13,10.06,14.17,2.22
DL027,28.36,64.0,2.97,7.19,10.15,3.11
DL027,25.9,61.28,2.76,5.32,8.08,2.45
DL027,31.95,71.34,3.56,8.02,11.57,2.18
DL027,45.98,113.14,4.47,15.79,20.24,2.21
DL027,24.55,79.4,2.11,7.74,9.82,2.55
DL027,44.14,106.71,2.35,9.38,11.73,2.75
DL027,84.94,172.96,2.13,10.46,12.51,3.38
DL027,67.23,152.66,2.2,13.11,15.31,2.97
DL027,34.74,133.47,1.75,6.0,7.75,2.39
DL027,34.94,95.66,3.38,8.36,11.73,2.49
DL027,27.07,74.81,3.09,9.24,11.26,2.62
DL027,25.4,66.3,3.59,5.2,5.23,2.51
DL027,47.57,115.42,1.35,6.27,5.71,2.46
DL027,70.88,150.23,1.26,16.94,18.2,3.56
DL027,62.19,144.61,2.45,21.49,23.95,2.93
DL027,43.61,110.96,1.19,14.37,15.38,1.96
DL027,23.88,69.25,1.04,10.02,10.96,1.67
DL027,19.69,62.95,0.78,8.44,9.18,1.9
DL027,29.85,68.22,1.52,11.25,12.75,2.26
DL027,48.3,104.81,3.7,14.02,17.75,1.99
DL027,54.94,127.27,1.7,16.06,17.76,2.62
DL027,26.14,76.18,0.94,11.15,12.08,2.79
DL027,14.24,52.95,1.04,8.18,9.22,1.66
